country,population,id
Somaliland,35000,1
Afghanistan,291212,2
Angola,130681,3
Albania,36596,4
United Arab Emirates,49755,5
Argentina,413432,6
Armenia,29668,7
Antarctica,100,8
Australia,215157,9
Austria,82141,10
Azerbaijan,83035,11
Burundi,98631,12
Belgium,104234,13
Benin,90560,14
Burkina Faso,162418,15
Bangladesh,1580658,16
Bulgaria,71487,17
The Bahamas,3104,18
Bosnia and Herzegovina,46215,19
Belarus,96126,20
Belize,3145,21
Bolivia,99474,22
Brazil,2011033,23
Brunei,3950,24
Bhutan,6998,25
Botswana,20293,26
Central African Republic,48449,27
Canada,337597,28
Switzerland,76234,29
Chile,167464,30
China,13301412,31
Cote d'Ivoire,210587,32
Cameroon,192941,33
Democratic Republic of the Congo,709164,34
Republic of the Congo,41259,35
Colombia,442052,36
Costa Rica,45162,37
Cuba,114774,38
Cyprus,11026,39
Czech Republic,102017,40
Germany,822829,41
Djibouti,7405,42
Denmark,55155,43
Dominica,97944,44
Algeria,345861,45
Ecuador,147906,46
Egypt,804718,47
Eritrea,57929,48
Western Sahara,4915,49
Spain,405487,50
Estonia,12911,51
Ethiopia,880134,52
Finland,52550,53
Fiji,9577,54
Falkland Islands (Islas Malvinas),31,55
France,640577,56
Gabon,15452,57
United Kingdom,612848,58
Georgia,46008,59
Ghana,243398,60
Guinea,103240,61
Gambia,18241,62
Guinea-Bissau,15651,63
Equatorial Guinea,6507,64
Greece,107499,65
Greenland,576,66
Guatemala,135504,67
Guyana,7484,68
Honduras,79894,69
Croatia,44868,70
Haiti,92030,71
Hungary,98800,72
Indonesia,2429683,73
India,11731080,74
Ireland,42501,75
Iran,670375,76
Iraq,296716,77
Iceland,3089,78
Israel,73539,79
Italy,580906,80
Jamaica,28472,81
Jordan,64070,82
Japan,1268044,83
Kazakhstan,154604,84
Kenya,400465,85
Kyrgyzstan,55086,86
Cambodia,147533,87
South Korea,486360,88
Kuwait,27891,89
Laos,69937,90
Lebanon,41252,91
Liberia,36850,92
Libya,64614,93
Sri Lanka,215139,94
Lesotho,19195,95
Lithuania,35453,96
Luxembourg,4975,97
Latvia,22179,98
Morocco,316274,99
Moldova,43174,100
Madagascar,212818,101
Mexico,1124688,102
Macedonia,20720,103
Mali,137963,104
Burma,534143,105
Montenegro,6667,106
Mongolia,30869,107
Mozambique,220614,108
Mauritania,32050,109
Malawi,154475,110
Malaysia,261602,111
Namibia,21284,112
New Caledonia,2299,113
Niger,158782,114
Nigeria,1522173,115
Nicaragua,59959,116
Netherlands,167830,117
Norway,46763,118
Nepal,289518,119
New Zealand,42522,120
Oman,29677,121
Kosovo,18240,122
Pakistan,1772765,123
Panama,34106,124
Peru,299070,125
Philippines,999001,126
Papua New Guinea,60645,127
Poland,384636,128
Puerto Rico,39776,129
North Korea,227572,130
Portugal,107357,131
Paraguay,63758,132
West Bank,25148,133
Qatar,8409,134
Romania,221812,135
Russia,1393902,136
Rwanda,110559,137
Saudi Arabia,292072,138
Sudan,419801,139
South Sudan,121523,140
Senegal,140861,141
Solomon Islands,6097,142
Sierra Leone,52456,143
El Salvador,60520,144
Somalia,101124,145
Serbia,73448,146
Suriname,4866,147
Slovakia,54703,148
Slovenia,20031,149
Sweden,90740,150
Swaziland,13540,151
Syria,221981,152
Chad,105434,153
Togo,61998,154
Thailand,664046,155
Tajikistan,74874,156
Turkmenistan,49409,157
Timor-Leste,11546,158
Trinidad and Tobago,12286,159
Tunisia,105890,160
Turkey,778041,161
Taiwan,230249,162
Tanzania,418928,163
Uganda,333986,164
Ukraine,454155,165
Uruguay,35103,166
United States,3102328,167
Uzbekistan,278657,168
Venezuela,272232,169
Vietnam,895711,170
Vanuatu,2215,171
Yemen,234953,172
South Africa,491091,173
Zambia,120569,174
Zimbabwe,116518,175